Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
974,Def Jam Vendetta,PS2,2003,Fighting,EA Sports BIG   ,Aki Corporation  ,,,0.95,0.74,,0.25,1.94
975,Who Wants to be a Millionaire,PC,1999,Misc,Disney Interactive Studios  ,Jellyvision  ,,,1.94,0.0,,,1.94
976,Alleyway,GB,1989,Puzzle,Nintendo  ,Nintendo R&D1 / Intelligent Systems  ,,,0.96,0.38,0.55,0.05,1.94
977,Scooby Doo and the Cyber Chase,PS,2001,Adventure,THQ  ,Art  ,,,0.59,1.23,,0.13,1.94
978,FIFA Soccer 09,X360,2008,Sports,Electronic Arts  ,EA Canada  ,8.7,,0.49,1.26,0.01,0.18,1.94
979,Call of Duty: World at War,Wii,2008,Shooter,Activision  ,EXAKT Entertainment  ,8.1,8.9,1.17,0.58,,0.18,1.94
980,Dragon Ball Z: Budokai 3,PS2,2004,Fighting,Atari  ,Dimps Corporation  ,,,1.09,0.15,0.65,0.04,1.94
981,Jet Moto 2,PS,1997,Racing,Sony Computer Entertainment  ,SingleTrac  ,,,1.41,0.42,0.03,0.07,1.94
982,Tom Clancy's Ghost Recon,PS2,2002,Shooter,Ubisoft  ,Red Storm Entertainment  ,,,1.42,0.4,,0.12,1.94
983,X-Men Legends,PS2,2004,Role-Playing,Activision  ,Raven Software  ,8.6,,1.0,0.72,,0.21,1.93
984,Mortal Kombat II,SNES,1994,Fighting,Acclaim Entertainment  ,Sculptured Software  ,,,1.48,0.39,,0.06,1.93
985,Virtua Fighter 2,SAT,1996,Fighting,Sega  ,Sega-AM2  ,,,0.34,0.26,1.3,0.03,1.93
986,Tetris DX,GBC,1998,Puzzle,Nintendo  ,Nintendo R&D1  ,,,1.06,0.6,0.2,0.07,1.93
987,The Legend of Zelda: Oracle of Ages,GBC,2001,Adventure,Nintendo  ,Flagship  ,9.4,,0.92,0.53,0.41,0.06,1.92
988,Guitar Hero: World Tour,PS3,2008,Misc,Activision  ,Neversoft Entertainment  ,8.5,,1.1,0.55,,0.27,1.92
989,Red Faction,PS2,2001,Shooter,THQ  ,Volition Inc.  ,9.1,,0.76,0.96,,0.2,1.92
990,The Sims: Makin' Magic,PC,2003,Simulation,Electronic Arts  ,Maxis  ,,,1.03,0.8,,0.09,1.92
991,MX Unleashed,PS2,2004,Racing,THQ  ,Rainbow Studios  ,,,0.94,0.73,,0.25,1.92
992,PaRappa The Rapper,PS,1997,Misc,Sony Computer Entertainment  ,NanaOn-Sha  ,9.2,,0.26,0.16,1.46,0.03,1.92
993,Star Wars Battlefront II (2017),XOne,2017,Shooter,Electronic Arts  ,EA DICE  ,,,1.15,0.59,,0.17,1.92
994,Need for Speed: Shift,X360,2009,Racing,Electronic Arts  ,Slightly Mad Studios  ,8.2,,0.73,0.96,0.01,0.22,1.91
995,Lego Marvel Super Heroes,PS4,2013,Action,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.59,1.0,0.01,0.3,1.91
996,Mario Party 3,N64,2001,Misc,Nintendo  ,Hudson Soft  ,7.0,,0.72,0.16,1.01,0.02,1.91
997,Madden NFL 18,XOne,2017,Sports,EA Sports  ,EA Tiburon  ,8.8,,1.63,0.07,,0.2,1.91
998,Star Wars Rogue Leader: Rogue Squadron II,GC,2001,Simulation,LucasArts  ,Factor 5  ,9.2,,1.03,0.75,0.03,0.09,1.9
999,Tomb Raider (2013),X360,2013,Action,Square Enix  ,Crystal Dynamics  ,8.5,,0.86,0.87,0.01,0.16,1.9
1000,Batman: Arkham Origins,X360,2013,Action-Adventure,Warner Bros. Interactive Entertainment  ,Warner Bros. Interactive Entertainment  ,,,1.15,0.58,0.0,0.17,1.9
1001,Until Dawn,PS4,2015,Adventure,Sony Computer Entertainment  ,Supermassive Games Ltd.  ,,,0.62,0.92,0.06,0.3,1.9
1002,Mario Super Sluggers,Wii,2008,Sports,Nintendo  ,Bandai Namco Games / NOW Production  ,6.7,,1.48,,0.29,0.13,1.89
1003,Monopoly,Wii,2008,Misc,Electronic Arts  ,EA Bright Light  ,,,0.86,0.83,0.0,0.2,1.89
1004,Minecraft,NS,2018,Sandbox,Mojang  ,4J Studios  ,9.2,,0.69,0.56,0.52,0.12,1.89
1005,Ratchet & Clank Future: A Crack in Time,PS3,2009,Platform,Sony Computer Entertainment  ,Insomniac Games  ,8.7,9.0,1.05,0.55,0.03,0.26,1.89
1006,Madden NFL 09,PS3,2008,Sports,EA Sports  ,EA Tiburon  ,8.6,,1.56,0.15,0.0,0.18,1.89
1007,Toy Story Mania!,Wii,2009,Misc,Disney Interactive Studios  ,Papaya Studios  ,,,1.04,0.66,,0.19,1.89
1008,Game Party 2,Wii,2008,Misc,Midway Games  ,FarSight Studios  ,,,1.28,0.44,,0.17,1.88
1009,Wii Party U,WiiU,2013,Party,Nintendo  ,"Nd Cube Co., Ltd.  ",6.6,,0.3,0.66,0.84,0.08,1.88
1010,Yu-Gi-Oh! Forbidden Memories,PS,2002,Role-Playing,Konami  ,KCEJ  ,7.0,,1.37,0.44,,0.08,1.88
1011,Mortal Kombat: Deception,PS2,2004,Fighting,Midway Games  ,Midway Games  ,7.4,,0.92,0.72,,0.24,1.88
1012,Hot Shots Golf 2,PS,2000,Sports,Sony Computer Entertainment  ,Clap Hanz  ,,,0.25,0.12,1.48,0.03,1.88
1013,Medal of Honor: European Assault (All Region sales),PS2,2005,Shooter,Electronic Arts  ,EA Los Angeles  ,,,0.89,0.69,0.09,0.21,1.88
1014,WCW Nitro,PS,1998,Fighting,THQ  ,Inland Productions  ,,,1.42,0.36,0.03,0.07,1.88
1015,Knack,PS4,2013,Platform,Sony Computer Entertainment  ,SCE Japan Studio  ,8.4,,0.45,0.77,0.42,0.23,1.88
1016,High School Musical: Sing It!,PS2,2007,Misc,Disney Interactive Studios  ,Artificial Mind and Movement  ,,,0.47,0.08,,1.33,1.87
1017,Star Fox Adventures,GC,2002,Adventure,Nintendo  ,Rare Ltd.  ,8.1,,0.96,0.53,0.3,0.09,1.87
1018,Mario Tennis Aces,NS,2018,Sports,Nintendo  ,Camelot Software Planning  ,7.8,,0.71,0.62,0.42,0.12,1.87
1019,FIFA 2000,PS,1999,Sports,EA Sports  ,EA Canada  ,8.8,,0.22,1.47,0.04,0.14,1.87
1020,inFAMOUS 2,PS3,2011,Action,Sony Computer Entertainment  ,Sucker Punch Productions  ,8.1,,1.05,0.48,0.08,0.26,1.87
1021,Dynasty Warriors 3,PS2,2001,Action,KOEI  ,Omega Force  ,,,0.53,0.16,1.07,0.1,1.87
1022,Star Wars: The Force Unleashed,Wii,2008,Action,LucasArts  ,Krome Studios  ,6.8,7.4,1.11,0.56,0.0,0.19,1.86
1023,The Legend of Zelda: Oracle of Seasons,GBC,2001,Adventure,Nintendo  ,Flagship  ,9.3,,0.87,0.52,0.41,0.06,1.86
1024,Madden NFL 06,XB,2005,Sports,EA Sports  ,EA Tiburon  ,,,1.75,0.03,,0.08,1.86
1025,Shrek 2,PS2,2004,Platform,Activision  ,"Luxoflux, Inc.  ",6.9,,1.12,0.69,0.03,0.02,1.86
1026,Sonic Classic Collection,DS,2010,Platform,Sega  ,Sonic Team  ,7.5,,0.94,0.74,,0.18,1.86
1027,The Legend of Dragoon,PS,2000,Role-Playing,Sony Computer Entertainment  ,SCEI  ,7.8,6.5,0.94,0.44,0.39,0.1,1.86
1028,Turok 2: Seeds of Evil,N64,1998,Shooter,Acclaim Entertainment  ,Iguana Entertainment  ,9.0,,1.37,0.41,0.04,0.04,1.86
1029,The Evil Within,PS4,2014,Action,Bethesda Softworks  ,Tango Gameworks  ,7.7,,0.56,0.9,0.11,0.28,1.86
1030,SingStar,PS2,2004,Misc,Sony Computer Entertainment  ,SCEE London Studio  ,8.0,,,1.37,,0.49,1.86
1031,Max Payne 3,PS3,2012,Shooter,Rockstar Games  ,Rockstar Vancouver  ,,,0.59,0.93,0.06,0.27,1.86
1032,NBA Live 2002,PS2,2001,Sports,EA Sports  ,EA Canada  ,,,0.91,0.71,,0.24,1.86
1033,Chrono Cross,PS,2000,Role-Playing,Square EA  ,SquareSoft  ,9.7,9.8,0.62,0.42,0.69,0.12,1.86
1034,Jak 3,PS2,2004,Platform,Sony Computer Entertainment  ,Naughty Dog  ,,,1.33,0.49,,0.03,1.85
1035,Kingdom Hearts HD I.5 ReMIX,PS3,2013,Misc,Square Enix  ,Square Enix  ,,,0.93,0.4,0.25,0.28,1.85
1036,Kingdom Hearts: Chain of Memories,GBA,2004,Role-Playing,Square Enix  ,Jupiter Corporation  ,7.4,,1.26,0.18,0.35,0.06,1.85
1037,Pinball,NES,1985,Misc,Nintendo  ,Nintendo  ,,,0.8,0.19,0.83,0.03,1.85
1038,Phineas and Ferb,DS,2009,Action,Disney Interactive Studios  ,Disney Interactive Studios  ,,,1.33,0.37,,0.15,1.85
1039,Gran Turismo Concept 2001 Tokyo,PS2,N/A,Racing,Unknown  ,Polyphony Digital  ,,,,1.1,0.42,0.33,1.84
1040,Professor Layton and the Mask of Miracle,3DS,2012,Puzzle,Nintendo  ,Level 5  ,8.4,,0.32,1.05,0.36,0.11,1.84
1041,Forza Horizon 4,XOne,2018,Racing,Microsoft Studios  ,Playground Games  ,9.2,,0.74,0.95,0.01,0.15,1.84
1042,NCAA Football 06,PS2,2005,Sports,EA Sports  ,EA Tiburon  ,,,1.53,0.05,,0.25,1.84
1043,Rayman Raving Rabbids 2,Wii,2007,Misc,Ubisoft  ,Ubisoft Paris  ,6.6,,0.82,0.82,,0.2,1.84
1044,"Hey You, Pikachu!",N64,2000,Simulation,Nintendo  ,Ambrella  ,,,0.83,0.06,0.93,0.0,1.83
1045,Watch Dogs,PS3,2014,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,0.56,0.89,0.1,0.28,1.83
1046,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,Misc,THQ  ,Sega  ,,,1.31,0.49,,0.03,1.83
1047,Jet Moto,PS,1996,Racing,Sony Computer Entertainment  ,SingleTrac  ,,,1.33,0.4,0.03,0.07,1.83
1048,Secret of Mana,SNES,1993,Role-Playing,Square  ,SquareSoft  ,9.1,,0.25,0.07,1.49,0.02,1.83
1049,The Elder Scrolls V: Skyrim Special Edition,XOne,2016,Role-Playing,Bethesda Softworks  ,Bethesda Softworks  ,8.1,,1.13,0.53,,0.17,1.83
1050,Air Combat,PS,1995,Simulation,Namco  ,Namco  ,7.0,,0.92,0.33,0.52,0.05,1.83
1051,Demon's Souls,PS3,2009,Role-Playing,Atlus  ,From Software  ,9.1,9.5,0.97,0.34,0.35,0.17,1.83
1052,Dragon Quest XI,3DS,2017,Role-Playing,Square Enix  ,Square Enix  ,,,,,1.82,,1.82
1053,Sonic & Knuckles,GEN,1994,Platform,Sega  ,Sonic Team  ,,,1.24,0.43,0.03,0.12,1.82
1054,BioShock Infinite,PS3,2013,Shooter,2K Games  ,Irrational Games  ,9.5,,0.74,0.74,0.04,0.3,1.82
1055,Namco Museum,PS2,2001,Misc,Namco  ,Mass Media  ,,,1.73,0.07,,0.02,1.82
1056,The Sims: Hot Date,PC,2001,Simulation,Electronic Arts  ,Maxis  ,,,1.81,0.0,,,1.82
1057,The Orange Box,X360,2007,Shooter,Electronic Arts  ,Valve Software  ,9.7,,1.09,0.53,0.02,0.17,1.82
1058,DDRMAX2: Dance Dance Revolution,PS2,2003,Simulation,Konami  ,Konami Computer Entertainment Tokyo  ,,,1.05,0.59,,0.18,1.81
1059,Crazy Taxi,DC,2000,Racing,Sega  ,Hitmaker  ,9.3,,1.1,0.51,0.12,0.08,1.81
1060,Virtua Fighter 4,PS2,2002,Fighting,Sega  ,Sega-AM2  ,9.3,,0.78,0.44,0.56,0.04,1.81
1061,World of Warcraft: Mists of Pandaria,PC,2012,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,,,0.84,0.76,,0.2,1.81
1062,NBA 2K11,PS3,2010,Sports,2K Sports  ,Visual Concepts  ,,,1.41,0.21,0.03,0.16,1.81
1063,Sly 2: Band of Thieves,PS2,2004,Platform,Sony Computer Entertainment  ,Sucker Punch  ,,,0.88,0.69,,0.23,1.81
1064,Guitar Hero: World Tour,PS2,2008,Misc,Activision  ,BudCat Creations  ,,,1.0,0.03,,0.77,1.8
1065,Madden NFL 07,X360,2006,Sports,EA Sports  ,EA Tiburon  ,8.2,,1.66,0.0,0.01,0.13,1.8
1066,Sonic Advance 2,GBA,2003,Platform,Sega  ,Dimps Corporation / Sonic Team  ,,,0.93,0.59,0.21,0.07,1.8
1067,NFL GameDay 2000,PS,1999,Sports,989 Studios  ,Red Zone Entertainment  ,,,1.0,0.68,,0.12,1.8
1068,Metroid Prime 3: Corruption,Wii,2007,Shooter,Nintendo  ,Retro Studios  ,9.0,9.4,0.89,0.74,0.07,0.09,1.79
1069,The Lion King,SNES,1994,Platform,Virgin Interactive  ,Westwood Studios  ,,,1.26,0.39,0.08,0.06,1.79
1070,LEGO Star Wars III: The Clone Wars,Wii,2011,Action,LucasArts  ,Traveller's Tales  ,7.5,,1.01,0.62,,0.15,1.79
1071,The Crew,PS4,2014,Racing,Ubisoft  ,Ubisoft Reflections  ,,,0.44,1.04,0.03,0.27,1.79
1072,Midnight Club II,PS2,2003,Racing,Rockstar Games  ,Rockstar San Diego  ,,,1.25,0.29,,0.24,1.78
1073,SpongeBob SquarePants: SuperSponge,PS,2001,Action,THQ  ,Climax Group  ,,,1.12,0.58,,0.08,1.78
1074,The Getaway: Black Monday,PS2,2005,Action,Sony Computer Entertainment  ,Team Soho  ,,,0.39,1.01,0.02,0.36,1.78
1075,Far Cry 5,XOne,2018,Action,Ubisoft  ,Ubisoft Montreal  ,7.2,,1.14,0.47,,0.17,1.78
1076,50 Cent: Bulletproof,PS2,2005,Action,Vivendi Games  ,Genuine  ,,,0.85,0.76,,0.16,1.77
1077,Final Fantasy II,SNES,1991,Role-Playing,Square  ,Square  ,10.0,,0.24,0.09,1.33,0.12,1.77
1078,Kirby 64: The Crystal Shards,N64,2000,Platform,Nintendo  ,HAL Laboratory  ,7.9,,0.63,0.06,1.03,0.04,1.77
1079,Dead or Alive 3,XB,2001,Fighting,Tecmo  ,Team Ninja  ,8.3,,1.19,0.29,0.24,0.06,1.77
1080,Dragon Quest Monsters: Joker,DS,2007,Role-Playing,Square Enix  ,TOSE Software  ,7.6,,0.23,0.03,1.49,0.02,1.77
1081,UFC 2009 Undisputed,PS3,2009,Fighting,THQ  ,Yuke's Osaka  ,8.4,,1.07,0.45,0.01,0.24,1.76
1082,Dragon's Dogma,PS3,2012,Role-Playing,Capcom  ,Capcom  ,,,0.41,0.48,0.72,0.16,1.76
1083,High School Musical: Sing It!,Wii,2007,Misc,Disney Interactive Studios  ,Artificial Mind and Movement  ,6.4,,1.15,0.45,,0.16,1.76
1084,Metroid II: Return of Samus,GB,1991,Adventure,Nintendo  ,Intelligent Systems  ,7.3,,0.85,0.31,0.56,0.04,1.76
1085,WWF Attitude,PS,1999,Fighting,Acclaim Entertainment  ,Acclaim Entertainment  ,,,1.27,0.42,,0.07,1.76
1086,The SpongeBob SquarePants Movie,PS2,2004,Platform,THQ  ,Heavy Iron Studios  ,6.6,,1.06,0.54,,0.16,1.76
1087,Golden Sun,GBA,2001,Role-Playing,Nintendo  ,Camelot Software Planning  ,9.1,,0.93,0.38,0.4,0.06,1.76
1088,Kid Icarus,NES,1987,Platform,Nintendo  ,Nintendo R&D1  ,,,0.53,0.12,1.09,0.02,1.76
1089,Sonic the Hedgehog 3,GEN,1994,Platform,Sega  ,Sonic Team  ,,,1.02,0.47,0.2,0.07,1.76
1090,Def Jam: Fight for NY,PS2,2004,Fighting,Electronic Arts  ,AKI Corporation / EA Canada  ,,,0.86,0.67,,0.22,1.76
1091,Tom Clancy's Ghost Recon,XB,2002,Shooter,Ubisoft  ,Red Storm Entertainment  ,,,1.23,0.46,,0.07,1.76
1092,State of Emergency,PS2,2002,Action,Rockstar Games  ,VIS Entertainment  ,8.0,,0.86,0.67,,0.22,1.76
1093,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,Action,THQ  ,Helixe / Altron  ,,,1.26,0.47,,0.03,1.76
1094,Kinect Star Wars,X360,2012,Action,Microsoft Studios  ,Terminal Reality  ,,,1.05,0.53,0.03,0.15,1.76
1095,The Urbz: Sims in the City,PS2,2004,Simulation,Electronic Arts  ,Maxis  ,,,0.52,0.95,,0.29,1.76
1096,Star Wars: Starfighter,PS2,2001,Simulation,LucasArts  ,LucasArts  ,,,0.61,0.87,0.02,0.26,1.76
1097,Madden NFL 2000,PS,1999,Sports,EA Sports  ,EA Tiburon  ,,,1.68,0.04,,0.04,1.75
1098,Just Cause 2,PS3,2010,Action,Square Enix  ,Avalanche Studios  ,8.3,,0.45,0.92,0.06,0.32,1.75
1099,Star Wars Battlefront,XB,2004,Shooter,LucasArts  ,Pandemic Studios  ,,,1.24,0.45,,0.07,1.75
1100,Pro Evolution Soccer,PS2,2001,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,,,0.06,0.9,0.53,0.27,1.75
1101,Kingdom Hearts HD I.5 + II.5 ReMIX,PS4,2017,Role-Playing,Square Enix  ,Square Enix  ,,,0.75,0.51,0.23,0.26,1.75
1102,Disney's Aladdin,SNES,1993,Platform,Capcom  ,Capcom/Disney  ,,,0.94,0.34,0.21,0.27,1.75
1103,Kirby's Adventure,NES,1993,Platform,Nintendo  ,HAL Laboratory  ,,,0.79,0.14,0.8,0.02,1.75
1104,Yoshi,NES,1992,Puzzle,Nintendo  ,Game Freak  ,,,0.7,0.13,0.91,0.01,1.75
1105,For Honor,PS4,2017,Action,Ubisoft  ,Ubisoft Montreal  ,,,0.73,0.66,0.07,0.28,1.75
1106,FIFA Soccer 08,PS3,2007,Sports,EA Sports  ,EA Canada  ,8.5,,0.35,1.07,0.02,0.31,1.75
1107,Crackdown,X360,2007,Shooter,Microsoft Game Studios  ,Realtime Worlds  ,8.4,7.0,1.0,0.53,0.03,0.18,1.75
1108,Dance Dance Revolution X,PS2,2008,Simulation,Konami  ,Konami Computer Entertainment Tokyo  ,,,0.85,0.66,0.01,0.22,1.75
1109,2 Games in 1: Disney Princess & The Lion King,GBA,2004,Misc,THQ  ,Various  ,,,1.25,0.46,,0.03,1.75
1110,Mortal Kombat X,XOne,2015,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,,1.34,0.23,,0.18,1.74
1111,Star Wars Episode I: The Phantom Menace,PS,1999,Adventure,LucasArts  ,Big Ape Productions  ,,,0.72,0.89,0.04,0.1,1.74
1112,Xenosaga Episode I: Der Wille zur Macht,PS2,2003,Role-Playing,Namco  ,Monolith Soft  ,8.7,,0.63,0.49,0.45,0.17,1.74
1113,NBA 2K15,XOne,2014,Sports,2K Sports  ,Visual Concepts  ,,,1.39,0.18,,0.18,1.74
1114,The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,,0.97,0.61,0.01,0.15,1.74
1115,NBA 2K19,XOne,2018,Sports,2K Sports  ,Visual Concepts  ,,,1.47,0.08,,0.18,1.74
1116,Cruis'n USA,N64,1996,Racing,Nintendo  ,Midway Games  ,,,1.69,0.04,,0.01,1.74
1117,Madden NFL 99,PS,1998,Sports,EA Sports  ,EA Sports  ,,,1.66,0.04,,0.04,1.74
1118,LEGO City Undercover: The Chase Begins,3DS,2013,Action,Nintendo  ,TT Fusion  ,6.2,,0.54,0.99,0.08,0.12,1.74
1119,Shadow of the Tomb Raider,PS4,2018,Action-Adventure,Square Enix  ,Eidos Montreal  ,,,0.59,0.82,0.06,0.27,1.74
1120,SSX Tricky,PS2,2001,Sports,EA Sports BIG   ,EA Canada  ,9.2,,0.85,0.66,,0.22,1.73
1121,Dragon Quest VI: Realms of Revelation,DS,2011,Role-Playing,Nintendo  ,ArtePiazza  ,7.6,,0.2,0.15,1.35,0.03,1.73
1122,Sonic Colors,Wii,2010,Platform,Sega  ,Sonic Team  ,7.7,,0.95,0.61,0.01,0.16,1.73
1123,Twisted Metal III,PS,1998,Action,989 Studios  ,989 Studios  ,4.4,,1.48,0.2,,0.05,1.73
1124,Harry Potter and the Sorcerer's Stone,GB,2001,Action,Electronic Arts  ,Griptonite Games  ,,,0.94,0.62,0.1,0.07,1.73
1125,Crash Bandicoot: The Huge Adventure,GBA,2002,Platform,Vivendi Games  ,Vicarious Visions  ,8.3,,0.95,0.7,,0.08,1.73
1126,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,2003,Action,Rockstar Games  ,Rockstar North  ,9.7,,0.85,0.66,,0.22,1.72
1127,Dishonored,X360,2013,Shooter,Bethesda Softworks  ,Arkane Studios  ,,,1.06,0.5,0.01,0.15,1.72
1128,Call of Duty: World at War Final Fronts,PS2,2008,Shooter,Activision  ,Rebellion Developments  ,6.8,,0.61,0.18,,0.94,1.72
1129,Hot Shots Golf Fore!,PS2,2004,Sports,Sony Computer Entertainment  ,Clap Hanz  ,,,0.27,0.11,1.34,,1.72
1130,Titanfall 2,PS4,2016,Shooter,Electronic Arts  ,Respawn Entertainment  ,8.9,,0.75,0.62,0.06,0.28,1.72
1131,Game Party 3,Wii,2009,Puzzle,Warner Bros. Interactive  ,FarSight Studios  ,,,1.43,0.16,,0.13,1.72
1132,Madden NFL 2005,XB,2004,Sports,EA Sports  ,EA Tiburon  ,,,1.61,0.03,,0.08,1.72
1133,Deal or No Deal,DS,2007,Misc,"Destination Software, Inc  ",Global Star  ,,,1.16,0.4,,0.16,1.72
1134,Star Ocean: Till The End of Time,PS2,2004,Role-Playing,Square Enix  ,tri-Ace  ,7.8,,0.8,0.21,0.55,0.15,1.72
1135,Injustice 2,PS4,2017,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,,0.88,0.54,,0.29,1.72
1136,The Beatles: Rock Band,Wii,2009,Misc,MTV Games  ,Harmonix Music Systems  ,9.0,,1.17,0.39,,0.15,1.71
1137,Toy Story 2: Buzz Lightyear to the Rescue!,PS,1999,Platform,Activision  ,Traveller's Tales  ,,,0.99,0.64,,0.08,1.71
1138,Imagine: Teacher,DS,2008,Simulation,Ubisoft  ,Magic Pockets  ,,,0.7,0.83,,0.19,1.71
1139,Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,Nintendo  ,Retro Studios  ,8.8,9.1,0.74,0.68,0.16,0.13,1.71
1140,Call of Duty: Modern Warfare 3,PC,2011,Shooter,Activision  ,Infinity Ward  ,8.0,,0.41,0.99,,0.31,1.71
1141,Ace Combat 5: The Unsung War,PS2,2004,Simulation,Namco  ,Namco  ,9.2,,0.88,0.34,0.32,0.18,1.71
1142,Need for Speed Underground,XB,2003,Racing,Electronic Arts  ,EA Black Box  ,,,1.09,0.55,,0.07,1.71
1143,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,2006,Misc,Nintendo  ,HAL Laboratory  ,,,,,1.71,,1.71
1144,Tetris Worlds,GBA,2001,Puzzle,THQ  ,3d6 Games  ,,,1.25,0.39,,0.06,1.71
1145,Call of Duty Black Ops: Declassified,PSV,2012,Shooter,Activision  ,Nihilistic  ,3.2,,0.74,0.52,0.07,0.38,1.71
1146,Portal 2,PS3,2011,Shooter,Valve  ,Valve Software  ,9.6,,0.83,0.62,0.02,0.24,1.71
1147,Pokken Tournament DX,NS,2017,Fighting,Nintendo  ,Namco Bandai Games  ,8.0,,0.79,0.47,0.32,0.12,1.71
1148,NieR: Automata,PS4,2017,Role-Playing,Square Enix  ,PlatinumGames  ,,,0.56,0.51,0.42,0.22,1.71
1149,FIFA Soccer 10,PS2,2009,Sports,EA Sports  ,EA Canada  ,,,0.23,0.24,0.0,1.23,1.7
1150,Beyond: Two Souls,PS3,2013,Adventure,Sony Computer Entertainment  ,Quantic Dream  ,,,0.52,0.86,0.06,0.26,1.7
1151,Hitman: Absolution,X360,2012,Action,Square Enix  ,IO Interactive  ,,,0.68,0.88,0.01,0.13,1.7
1152,Super Puyo Puyo,SNES,1993,Puzzle,Banpresto  ,Compile  ,,,,,1.69,0.01,1.7
1153,Tekken 7,PS4,2017,Fighting,Namco Bandai Games  ,Namco Bandai Games  ,,,0.6,0.72,0.12,0.26,1.7
1154,NCAA Football 07,PS2,2006,Sports,Electronic Arts  ,EA Sports  ,8.9,,1.41,0.05,,0.23,1.7
1155,Ben 10: Protector of Earth,DS,2007,Action,D3 Publisher  ,1st Playable Productions  ,,,0.68,0.82,,0.19,1.7
1156,Sid Meier's Civilization V,PC,2010,Strategy,2K Games  ,Firaxis Games  ,8.9,,1.0,0.53,,0.17,1.7
1157,Cabela's Big Game Hunter 2010,Wii,2009,Sports,Activision  ,Cauldron  ,5.5,,1.58,,,0.12,1.7
1158,SOCOM 3: U.S. Navy SEALs,PS2,2005,Shooter,Sony Computer Entertainment  ,Zipper Interactive  ,,,1.22,0.34,0.04,0.1,1.69
1159,Saints Row IV,X360,2013,Action,Deep Silver  ,Volition Inc.  ,,,1.01,0.51,0.01,0.15,1.69
1160,Donkey Kong Country: Tropical Freeze,NS,2018,Platform,Nintendo  ,Retro Studios  ,9.1,9.1,0.71,0.61,0.26,0.12,1.69
1161,Jampack Winter '99,PS,1999,Misc,Sony Computer Entertainment  ,Sony Computer Entertainment America  ,,,0.94,0.64,,0.11,1.69
1162,Cooking Mama 3: Shop & Chop,DS,2009,Simulation,505 Games  ,Cooking Mama Ltd.  ,,,0.79,0.66,0.08,0.17,1.69
1163,Tomodachi Collection: New Life,3DS,2013,Simulation,Nintendo  ,Nintendo  ,,,,,1.69,,1.69
1164,Need for Speed: Undercover,X360,2008,Racing,Electronic Arts  ,EA Vancouver  ,6.3,,0.8,0.7,0.01,0.18,1.69
1165,WCW vs. nWo: World Tour,N64,1997,Fighting,THQ  ,Aki Corp.  ,,,1.37,0.28,0.03,0.02,1.69
1166,WCW/NWO Thunder,PS,1998,Fighting,THQ  ,Inland Productions  ,,,1.1,0.48,0.04,0.07,1.69
1167,Harry Potter and the Sorcerer's Stone,GBA,2001,Action,Electronic Arts  ,Griptonite Games  ,6.6,,0.87,0.66,0.08,0.08,1.69
1168,Personal Trainer: Math,DS,2009,Puzzle,Nintendo  ,Jupiter Corporation  ,,,0.48,1.12,,0.08,1.69
1169,Dragon Ball Z: The Legacy of Goku,GBA,2002,Role-Playing,Infogrames  ,Webfoot Technologies  ,6.5,,1.52,0.12,,0.05,1.69
1170,The Sims 3: Late Night Expansion Pack,PC,2010,Simulation,Electronic Arts  ,The Sims Studio  ,7.5,,0.59,0.88,,0.22,1.69
1171,Resident Evil 4,GC,2005,Action,Capcom  ,Capcom Production Studio 4  ,9.6,,0.98,0.42,0.22,0.06,1.69
1172,LEGO Batman 2: DC Super Heroes,X360,2012,Action-Adventure,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.9,0.64,,0.15,1.69
1173,Far Cry 4,XOne,2014,Shooter,Ubisoft  ,Ubisoft Montreal  ,8.5,,0.85,0.68,0.02,0.14,1.68
1174,Saints Row 2,PS3,2008,Action,THQ  ,Volition Inc.  ,7.9,,0.88,0.54,0.02,0.24,1.68
1175,World Championship Poker: Featuring Howard Lederer - All In,PS2,2006,Misc,Crave Entertainment  ,Point of View  ,,,0.82,0.64,,0.22,1.68
1176,NFL GameDay 98,PS,1997,Sports,Sony Computer Entertainment  ,989 Studios  ,8.6,,1.58,0.06,,0.04,1.68
1177,Yoshi's Cookie,GB,1993,Puzzle,Nintendo  ,Jupiter Multimedia  ,,,0.59,0.24,0.82,0.03,1.68
